time,P,G(i),H_sun,T2m,WS10m
20200101:0010,0,0,0,1.01,5.17
20200101:0110,0,0,0,1.47,5.72
20200101:0210,0,0,0,1.64,5.93
20200101:0310,0,0,0,1.42,5.79
20200101:0410,0,0,0,1.16,5.66
20200101:0510,0,0,0,0.87,6
20200101:0610,0,0,0,0.49,6.14
20200101:0710,31.3,95.01,7.47,0.9,5.93
20200101:0810,34.09,80,12.59,0.94,6.21
20200101:0910,40.61,92,15.7,0.84,5.45
20200101:1010,81.06,170,16.51,0.52,5.86
20200101:1110,82.04,176,14.95,0.01,5.86
20200101:1210,41.27,96,11.16,-0.23,5.66
20200101:1310,13.36,57.26,5.48,-0.4,5.17
20200101:1410,0,0,0,-0.93,4.21
20200101:1510,0,0,0,-1.28,3.86
20200101:1610,0,0,0,-1.68,3.31
20200101:1710,0,0,0,-2.05,2.97
20200101:1810,0,0,0,-1.95,2.97
20200101:1910,0,0,0,-0.73,3.1
20200101:2010,0,0,0,-0.15,2.76
20200101:2110,0,0,0,-0.13,2.69
20200101:2210,0,0,0,-0.13,2.76
20200101:2310,0,0,0,-0.48,2.83
20200102:0010,0,0,0,-0.9,2.97
20200102:0110,0,0,0,-1.14,2.97
20200102:0210,0,0,0,-1.45,3.03
20200102:0310,0,0,0,-1.41,3.03
20200102:0410,0,0,0,-1.06,3.03
20200102:0510,0,0,0,-0.74,2.9
20200102:0610,0,0,0,-0.49,2.97
20200102:0710,4.55,19,7.5,-0.29,3.1
20200102:0810,22.42,57,12.64,0.19,3.1
20200102:0910,43.19,97,15.77,0.61,3.52
20200102:1010,78.22,165,16.6,1.09,4.21
20200102:1110,11.54,35,15.05,1.43,4
20200102:1210,40.9,96,11.28,1.48,3.72
20200102:1310,13.76,49.93,5.6,1.34,3.24
20200102:1410,0,0,0,1.03,3.24
20200102:1510,0,0,0,0.62,3.24
20200102:1610,0,0,0,0.49,3.17
20200102:1710,0,0,0,0.51,3.03
20200102:1810,0,0,0,0.32,2.69
20200102:1910,0,0,0,0,2.41
20200102:2010,0,0,0,0.04,2.48
20200102:2110,0,0,0,-0.17,2.34
20200102:2210,0,0,0,-0.39,2.28
20200102:2310,0,0,0,-0.59,2.28
20200103:0010,0,0,0,-0.52,2.14
20200103:0110,0,0,0,-0.72,2.07
20200103:0210,0,0,0,-0.9,2
20200103:0310,0,0,0,-1.13,2
20200103:0410,0,0,0,-1.37,2
20200103:0510,0,0,0,-1.67,1.93
20200103:0610,0,0,0,-2.17,1.86
20200103:0710,32.13,98.01,7.54,-1.28,1.59
20200103:0810,81.5,197.01,12.7,0.3,1.59
20200103:0910,114.1,253.01,15.84,1.44,1.66
20200103:1010,121.3,265.01,16.7,2.29,1.59
20200103:1110,108.08,246.01,15.16,2.82,1.59
20200103:1210,67.93,176.01,11.4,3,1.59
20200103:1310,18.34,69.01,5.73,2.55,1.45
20200103:1410,0,0,0,1.4,1.86
20200103:1510,0,0,0,0.17,1.93
20200103:1610,0,0,0,-0.87,2.14
20200103:1710,0,0,0,-1.5,2.28
20200103:1810,0,0,0,-1.65,2.41
20200103:1910,0,0,0,-1.87,2.41
20200103:2010,0,0,0,-1.8,2.62
20200103:2110,0,0,0,-1.81,2.55
20200103:2210,0,0,0,-1.89,2.69
20200103:2310,0,0,0,-1.91,2.76
20200104:0010,0,0,0,-2.11,2.41
20200104:0110,0,0,0,-2.34,2.34
20200104:0210,0,0,0,-2.47,2.34
20200104:0310,0,0,0,-2.3,2.34
20200104:0410,0,0,0,-2.01,2.41
20200104:0510,0,0,0,-1.75,2.62
20200104:0610,0,0,0,-1.4,2.9
20200104:0710,15.79,44,7.58,-0.58,3.17
20200104:0810,52.91,119,12.76,0.71,2.97
20200104:0910,40.9,93,15.93,1.67,3.03
20200104:1010,41.82,95,16.8,2.39,3.03
20200104:1110,46.86,105,15.28,2.78,4
20200104:1210,24,61,11.53,3.08,3.72
20200104:1310,10.28,33,5.87,3.19,3.72
20200104:1410,0,0,0,3.02,3.59
20200104:1510,0,0,0,2.74,3.24
20200104:1610,0,0,0,2.32,3.1
20200104:1710,0,0,0,1.93,3.24
20200104:1810,0,0,0,1.6,3.31
20200104:1910,0,0,0,1.31,2.97
20200104:2010,0,0,0,1.04,2.83
20200104:2110,0,0,0,1.03,2.41
20200104:2210,0,0,0,0.95,1.86
20200104:2310,0,0,0,0.97,1.59
20200105:0010,0,0,0,0.92,1.72
